,symbol
1219,SHSE.603338
1220,SHSE.603339
1221,SHSE.603345
1222,SHSE.603348
1223,SHSE.603351
1224,SHSE.603353
1225,SHSE.603355
1226,SHSE.603356
1227,SHSE.603357
1228,SHSE.603358
1229,SHSE.603359
1230,SHSE.603360
1231,SHSE.603363
1232,SHSE.603365
1233,SHSE.603366
1234,SHSE.603367
1235,SHSE.603368
1236,SHSE.603369
1237,SHSE.603377
1238,SHSE.603378
1239,SHSE.603379
1240,SHSE.603380
1241,SHSE.603383
1242,SHSE.603385
1243,SHSE.603386
1244,SHSE.603387
1245,SHSE.603388
1246,SHSE.603389
1247,SHSE.603390
1248,SHSE.603392
1249,SHSE.603393
1250,SHSE.603396
1251,SHSE.603398
1252,SHSE.603399
1253,SHSE.603408
1254,SHSE.603416
1255,SHSE.603421
1256,SHSE.603429
1257,SHSE.603439
1258,SHSE.603444
1259,SHSE.603456
1260,SHSE.603458
1261,SHSE.603466
1262,SHSE.603477
1263,SHSE.603486
1264,SHSE.603488
1265,SHSE.603489
1266,SHSE.603496
1267,SHSE.603499
1268,SHSE.603500
1269,SHSE.603501
1270,SHSE.603505
1271,SHSE.603506
1272,SHSE.603507
1273,SHSE.603508
1274,SHSE.603511
1275,SHSE.603515
1276,SHSE.603516
1277,SHSE.603517
1278,SHSE.603518
1279,SHSE.603519
1280,SHSE.603520
1281,SHSE.603527
1282,SHSE.603528
1283,SHSE.603529
1284,SHSE.603530
1285,SHSE.603533
1286,SHSE.603535
1287,SHSE.603536
1288,SHSE.603538
1289,SHSE.603551
1290,SHSE.603555
1291,SHSE.603556
1292,SHSE.603557
1293,SHSE.603558
1294,SHSE.603559
1295,SHSE.603565
1296,SHSE.603566
1297,SHSE.603567
1298,SHSE.603568
1299,SHSE.603569
1300,SHSE.603577
1301,SHSE.603578
1302,SHSE.603579
1303,SHSE.603580
1304,SHSE.603583
1305,SHSE.603585
1306,SHSE.603586
1307,SHSE.603587
1308,SHSE.603588
1309,SHSE.603589
1310,SHSE.603590
1311,SHSE.603595
1312,SHSE.603596
1313,SHSE.603598
1314,SHSE.603599
1315,SHSE.603600
1316,SHSE.603601
1317,SHSE.603602
1318,SHSE.603603
1319,SHSE.603605
1320,SHSE.603606
1321,SHSE.603607
1322,SHSE.603608
1323,SHSE.603609
1324,SHSE.603610
1325,SHSE.603611
1326,SHSE.603612
1327,SHSE.603613
1328,SHSE.603615
1329,SHSE.603616
1330,SHSE.603617
1331,SHSE.603618
1332,SHSE.603619
1333,SHSE.603626
1334,SHSE.603628
1335,SHSE.603629
1336,SHSE.603630
1337,SHSE.603633
1338,SHSE.603636
1339,SHSE.603637
1340,SHSE.603638
1341,SHSE.603639
1342,SHSE.603648
1343,SHSE.603650
1344,SHSE.603655
1345,SHSE.603656
1346,SHSE.603657
1347,SHSE.603658
1348,SHSE.603659
1349,SHSE.603660
1350,SHSE.603661
1351,SHSE.603662
1352,SHSE.603663
1353,SHSE.603665
1354,SHSE.603666
1355,SHSE.603667
1356,SHSE.603668
1357,SHSE.603669
1358,SHSE.603676
1359,SHSE.603677
