date,inflow,purchase,inflow_mean,inflow_bias,inflow_Q60,inflow_Q120,inflow_Q200,purchase_mean,purchase_bias,purchase_Q60,purchase_Q120,purchase_Q200
2015-10-30,1704.7312,1088.7173,1734.0412567745316,-1.690274476459166,17.763510702453917,35.07995817328083,13.33208198396921,1132.349774586469,-3.8532682714935333,19.110996116233313,34.6316752758458,18.60502010374966
2015-11-02,1695.0612,1078.1131,1730.3288704150523,-2.038206205655726,14.253064601635407,33.627510850226756,13.956297228965282,1127.1843770068053,-4.353438355587585,15.515652745686717,33.29062109392262,19.3878945005944
2015-11-03,1686.5512,1068.4649,1726.1595684707615,-2.2945948447773787,4.477151777582932,32.55721181939779,14.51974291899765,1121.5920458633,-4.736762003550737,6.008022634683163,32.262855144941206,20.024503039919512
2015-11-04,1664.6412,1045.4031,1720.300676235451,-3.2354504653948624,0.0,28.629592942263905,13.961953747119852,1114.3359557810809,-6.186003011341683,0.6162306851712165,28.37715550812094,19.127645501093017
2015-11-05,1625.8612,1005.9385000000001,1711.3064404035033,-4.992983044191462,0.0,21.29274126981608,10.769006581173123,1104.0123885638352,-8.883404713548131,0.0,21.14489202794352,14.673458265899642
2015-11-06,1612.3212,988.9173,1701.8792746507886,-5.262304793573861,0.0,20.1684527352981,10.879693173891386,1093.0509515577558,-9.526879914367242,0.0,19.41960869640371,14.314571530700453
2015-11-09,1599.5412,974.48,1692.1327913507134,-5.471886829685744,0.0,19.293548718887006,10.896689633628792,1081.7584799808267,-9.917045437233654,0.0,18.37349833770449,14.079762674865234
2015-11-10,1573.9812,947.3430999999999,1680.8802588411218,-6.359706961804818,0.0,15.58732745177926,9.461318170051973,1068.957015220748,-11.376876103444985,0.0,14.459405747844018,11.787791135250716
2015-11-11,1547.6212,919.4222,1668.1889199038721,-7.227461977796835,0.0,11.964868376388866,7.651144926496508,1054.7156042473434,-12.827477255718648,0.0,10.570059296660848,9.091591197578316
2015-11-12,1532.2812,903.2027,1655.2453275320747,-7.428755453151524,0.0,11.12456510740474,7.113798263670389,1040.2858038428346,-13.177446364878492,0.0,9.631723413912434,9.178332204358275
2015-11-13,1532.1812,900.2348,1643.524934433782,-6.774690915908835,3.072169822703922,13.854969397971923,8.859803173869198,1026.9476130006599,-12.33878061514892,2.4882930108035994,11.880350924187717,11.854620397230917
