date,name,code,weekday,open,high,low,close,change,pct
2015-01-23,股票基金,H11021,五,5949.64,5949.64,5949.64,5949.64,-44.74,-0.75
2015-01-23,偏股基金,930950,五,953.34,953.34,953.34,953.34,-7.37,-0.77
2015-01-23,主动偏股,932055,五,978.23,978.23,978.23,978.23,-9.58,-0.97
2015-01-23,主动股基,930890,五,967.21,967.21,967.21,967.21,-8.64,-0.89
2015-01-26,主动股基,930890,一,982.91,982.91,982.91,982.91,15.71,1.62
2015-01-26,偏股基金,930950,一,967.15,967.15,967.15,967.15,13.81,1.45
2015-01-26,股票基金,H11021,一,6039.80,6039.80,6039.80,6039.80,90.16,1.52
2015-01-26,主动偏股,932055,一,994.01,994.01,994.01,994.01,15.78,1.61
2015-01-27,主动股基,930890,二,986.37,986.37,986.37,986.37,3.46,0.35
2015-01-27,偏股基金,930950,二,965.13,965.13,965.13,965.13,-2.02,-0.21
2015-01-27,股票基金,H11021,二,6029.17,6029.17,6029.17,6029.17,-10.63,-0.18
2015-01-27,主动偏股,932055,二,993.41,993.41,993.41,993.41,-0.60,-0.06
2015-01-28,主动股基,930890,三,977.15,977.15,977.15,977.15,-9.22,-0.94
2015-01-28,股票基金,H11021,三,5964.10,5964.10,5964.10,5964.10,-65.07,-1.08
2015-01-28,偏股基金,930950,三,954.26,954.26,954.26,954.26,-10.87,-1.13
2015-01-28,主动偏股,932055,三,982.72,982.72,982.72,982.72,-10.69,-1.08
2015-01-29,主动偏股,932055,四,974.72,974.72,974.72,974.72,-8.00,-0.81
2015-01-29,偏股基金,930950,四,945.89,945.89,945.89,945.89,-8.37,-0.88
2015-01-29,主动股基,930890,四,967.49,967.49,967.49,967.49,-9.65,-0.99
2015-01-29,股票基金,H11021,四,5912.14,5912.14,5912.14,5912.14,-51.96,-0.87
2015-01-30,股票基金,H11021,五,5843.85,5843.85,5843.85,5843.85,-68.29,-1.16
2015-01-30,主动偏股,932055,五,962.88,962.88,962.88,962.88,-11.84,-1.22
2015-01-30,偏股基金,930950,五,934.63,934.63,934.63,934.63,-11.26,-1.19
2015-01-30,主动股基,930890,五,957.79,957.79,957.79,957.79,-9.70,-1.00
2015-02-02,主动偏股,932055,一,958.75,958.75,958.75,958.75,-4.13,-0.43
2015-02-02,主动股基,930890,一,951.58,951.58,951.58,951.58,-6.21,-0.65
2015-02-02,股票基金,H11021,一,5798.04,5798.04,5798.04,5798.04,-45.81,-0.78
2015-02-02,偏股基金,930950,一,927.33,927.33,927.33,927.33,-7.30,-0.78
2015-02-03,主动偏股,932055,二,979.53,979.53,979.53,979.53,20.78,2.17
2015-02-03,股票基金,H11021,二,5918.39,5918.39,5918.39,5918.39,120.35,2.08
2015-02-03,偏股基金,930950,二,947.67,947.67,947.67,947.67,20.34,2.19
2015-02-03,主动股基,930890,二,970.03,970.03,970.03,970.03,18.45,1.94
